_id,saep,dateSituation,cause,dateResolution,etat
1077,Ayeycha,2020-06-02,,,F
1078,Ouled Omor rouached,2020-06-02,,,F
1079,Hawel El Oued,2020-06-02,Baisse du débit du forage,Avant été 2020,P
1080,Ouled Issa,2020-06-02,,,F
1081,Ouled Nasser Jbel,2020-06-02,,,F
1082,Jibilet Elousset,2020-06-02,,,F
1083,Bir Saad,2020-06-02,,,F
1084,El Fej,2020-06-02,Endettement STEG,janv-20,P
1085,El Ogla,2020-06-02,,,F
1086,Swinia,2020-06-02,,,F
1087,Ftaimia,2020-06-02,,,F
1088,Abebsa,2020-06-02,,,F
1089,Ouled Haj Boualleg,2020-06-02,,,F
1090,Msadgfiya,2020-06-02,,,F
1091,KHMOUDA II,2020-06-02,,,F
1092,Mgalsia,2020-06-02,Equipement et électrification du forage,Avant été 2020,A
1093,Amaymia 1,2020-06-02,,,F
1094,Gramlia,2020-06-02,,,F
1095,Amaymia 2,2020-06-02,,,F
1096,AmaymiaNadhour,2020-06-02,,,F
1097,Mitkidis,2020-06-02,,,F
1098,Guettar 2,2020-06-02,,,F
1099,Guettar 1,2020-06-02,,,F
1100,Rkaiez El Bidh,2020-06-02,,,F
1101,El Adhla El Hamra,2020-06-02,,,F
1102,Akarim Entilaka,2020-06-02,,,F
1103,Henchir Gtif,2020-06-02,,,F
1104,Henchir Barouka,2020-06-02,,,F
1105,Ouglet Ahmed,2020-06-02,,,F
1106,Ouled Issa Nouveau,2020-06-02,,,F
1107,Ouled Mhamed,2020-06-02,,,F
1108,Hawel El Oued bis,2020-06-02,Baisse du débit du forage,Avant été 2020,P
1109,Ouled Dellej,2020-06-02,Problèmes sociaux vandalisme,févr-20,P
1110,Jdida - Jarara,2020-06-02,Proléme foncier ( arrêt des travaux d'électrification),mars-20,A
1111,Jdida Ouled Belgacem,2020-06-02,,,F
1112,Henchir Lafrah,2020-06-02,,,F
1113,Abed Essadeg,2020-06-02,Endettement STEG,mars-20,A
1114,Hbarna,2020-06-02,,,F
1115,Goussa,2020-06-02,,,F
1116,O.Chrayet O.Tlijene,2020-06-02,,,F
1117,Majoura Edekhla,2020-06-02,,,F
1118,Alim Edakhla,2020-06-02,,,F
1119,Ouled Zid,2020-06-02,,,F
1120,Echabiba,2020-06-02,,,F
1121,Athmnia,2020-06-02,,,F
1122,Henchir Lekhriba,2020-06-02,,,F
1123,Aouaynia (Ezalouf),2020-06-02,Endettement Steg,,A
1124,Skakra,2020-06-02,,,F
1125,Sned Jbel,2020-06-02,,,F
1126,Saaydia,2020-06-02,,,F
1127,Oued Lasfer,2020-06-02,,,F
1128,Khed Rabeh,2020-06-02,,,F
1129,El Grefi,2020-06-02,,,F
1130,Ain Khrarib,2020-06-02,,,F
1131,Aouled Ahmed,2020-06-02,,,F
1132,Atteb,2020-06-02,,,F
1133,ghoueylia,2020-06-02,entartrage des conduite manque d'eau,,P
1135,Dkheiliya,2020-06-02,Endtemment Steg,juin-20,A
1136,Taghout,2020-06-02,,,F
1137,Ghraybiya,2020-06-02,entartrage des conduite manque d'eau,,P
1138,Karba,2020-06-02,,,F
1139,Aouled Jemaa,2020-06-02,,,F
1140,Maaden,2020-06-02,Branchements illicites,,P
1141,Ayoun,2020-06-02,,,F
1142,ElHouch,2020-06-02,,,F
1143,Jlail,2020-06-02,,,F
1144,Doura,2020-06-02,,,F
1145,Sraya,2020-06-02,,,F
1147,Slatniya Gwariss,2020-06-02,,,F
1148,belda,2020-06-02,Endettement Steg,janv-20,A
1149,Toghzaz,2020-06-02,,,F
1150,Fejja,2020-06-02,,,F
1151,Mleykia rayhan,2020-06-02,,,F
1152,Mhelhliya,2020-06-02,,,F
1153,Nsanis,2020-06-02,remplacement de conduites,,P
1154,Aguiba,2020-06-02,,,F
1134,chemtou,2020-06-02,,,F
1155,khnebcha,2020-06-02,,,F
1156,Ain trarib,2020-06-02,,,F
1157,Lethyeb,2020-06-02,Problèmes de gestion,,P
1158,Aouled Hajj,2020-06-02,,,F
1159,Hnencha abedda,2020-06-02,,,F
1160,Mjez chraf,2020-06-02,,,F
1161,Bouchagra,2020-06-02,Branchements illicites,,P
1162,Douar Gattouss,2020-06-02,,,F
1163,Tlaibia,2020-06-02,,,F
1164,Zerzeya,2020-06-02,,,F
1165,Ghzela boulaaba,2020-06-02,,,F
1166,Sidi Abdallah,2020-06-02,,,F
1167,Chwewla beldiya,2020-06-02,,,F
1168,Jardouniya,2020-06-02,remplacement de conduites,,P
1169,AlIslah,2020-06-02,remplacement de conduites,,P
1170,Soualhia,2020-06-02,,,F
1171,Aouled Thif Allah,2020-06-02,,,F
1172,Ain Saida,2020-06-02,,,F
1173,Athemniya,2020-06-02,,,F
1174,Hezheza,2020-06-02,,,F
1175,Saiidia Rwezeg,2020-06-02,,,F
1176,Jehfa,2020-06-02,,,F
1177,haj hssin,2020-06-02,,,F
1178,Oued Ghzela,2020-06-02,,,F
1179,Maalim,2020-06-02,,,F
1180,AMROUN,2020-06-02,,,F
1181,SIDI MHAMED,2020-06-02,,,F
1182,FEJJ EL FAHEM,2020-06-02,,,F
1183,OULED ABBES,2020-06-02,,,F
1184,AL MARIRA-MKNIN,2020-06-02,,,F
1185,AIN OM EL JOUDOUR,2020-06-02,,,F
1186,AL GHRAYSIA ET AROUASIA,2020-06-02,,,F
1187,HENCHIR ELGHANAM,2020-06-02,,,F
1188,ZLEFNA LAHWALA,2020-06-02,,,F
1189,GHLAEYKEYA,2020-06-02,,,F
1190,MAJA,2020-06-02,Manque de ressources en eau,,A
1191,EL FAWAR EL BLAD,2020-06-02,,,F
1193,OULED MASSAOUD EL GARGARA,2020-06-02,,,F
1194,IBRAHIM EZZAHAR,2020-06-02,,,F
1195,ETTAIMLEYA,2020-06-02,,,F
1196,AIN HDIA 1,2020-06-02,Endettement STEG,,A
1197,DAAESSEYA,2020-06-02,,,F
1198,EL FHIS,2020-06-02,,,F
1199,ABAR TAGHOUT,2020-06-02,,,F
1200,ELGNEZAAYA,2020-06-02,,,F
1201,ECHEFEI,2020-06-02,Manque de ressources en eau,,A
1203,HENCHIR ETTOUNSI BOUAARARA,2020-06-02,Manque de ressources en eau,,P
1205,AOULED EL GHAOI,2020-06-02,,,F
1206,EJWA EL MRAWNA,2020-06-02,,,F
1207,ECHABNIA,2020-06-02,,,F
1208,AIN AL KOHAL AL HANACHIR LAJRED,2020-06-02,,,F
1209,AWLED ADHAYF ET AWLED KHALFA,2020-06-02,,,F
1210,BOUMEFTAH,2020-06-02,,,F
13,Chebbaou,2020-07-07,,,F
14,Jbal Touba,2020-07-07,,,F
1211,ESSAMELYA,2020-06-02,Probléme foncier (forage),,P
1212,HENCHIR BOUANZ ETEBAGA,2020-06-02,,,F
1213,FOUM EDHFA,2020-06-02,,,F
1214,BIR CHAABANE 1,2020-06-02,,,F
1215,JABBES,2020-06-02,,,F
1216,EL MSABHIA,2020-06-02,,,F
1217,AIN ZAYEN-1,2020-06-02,,,F
1218,OM KCHIBA,2020-06-02,,,F
1219,EL GHONNA,2020-06-02,,,F
1220,HENCHIR EL ASAL,2020-06-02,,,F
1221,OM FEDGHA,2020-06-02,Manque de ressources en eau,,A
1222,EL GRIN,2020-06-02,Endettement Steg et Branchements illicites,,P
1223,ZELFEN HENDI DAWLA,2020-06-02,,,F
1224,MAZREG CHAMS,2020-06-02,,,F
1225,FIDH EL METHNEN,2020-06-02,,,F
1226,SFICIFA,2020-06-02,,,F
1227,EL BNENA,2020-06-02,,,F
1228,LEBIRA I,2020-06-02,,,F
1229,LEBIRA II,2020-06-02,,,F
1230,AIN ZAYEN-2,2020-06-02,Probléme foncier (travaux d'éléctrication du forage),,A
1231,FEJ ATEFEL,2020-06-02,,,F
1232,ESSATOUR,2020-06-02,,,F
1233,OULED BENJEH,2020-06-02,,,F
1234,OM LAHWADH,2020-06-02,,,F
1235,EL ADHIRA III,2020-06-02,,,F
1236,EL MOGHROUN,2020-06-02,,,F
1237,EJERWALA,2020-06-02,,,F
1238,AROUBAIYA,2020-06-02,,,F
1239,AOULED HLAL,2020-06-02,,,F
1240,MRAWNA,2020-06-02,,,F
1241,OULED RAIS,2020-06-02,,,F
1242,HENCHIR AL KALLEL,2020-06-02,,,F
1243,EL WASSAIA,2020-06-02,Manque de ressources en eau,,A
1244,ETTORCH,2020-06-02,,,F
1245,HENCHIR EL KASSAA,2020-06-02,,,F
1246,BOUKHIL,2020-06-02,Endettement STEG,,A
1247,EL MZIRAA,2020-06-02,,,F
1248,OULED NASRALLAH,2020-06-02,,,F
1249,EL KWASSEM,2020-06-02,,,F
1250,SIDI HARRATH & SGHAIREYA,2020-06-02,,,F
1251,OULED MASSAOUD,2020-06-02,,,F
1252,JLEL II,2020-06-02,En attente de l'installation des compteurs individuels par les bénéficiaires,,A
1253,OUED MAAYOU,2020-06-02,Endettement STEG,,A
1254,ABDEL ADHIM,2020-06-02,Manque de ressources en eau,,A
1255,JWAMAA,2020-06-02,,,F
1256,ALI EL MAJNOUN,2020-06-02,,,F
1257,ESSAREG LAHMAR,2020-06-02,,,F
1258,ERHAYAT,2020-06-02,Endettement STEG,,A
1259,FEJJ ETTINE,2020-06-02,,,F
1260,SIDI ASKAR,2020-06-02,Endettement STEG,,A
1261,AICH AL KABECH,2020-06-02,Manque de ressources en eau,,A
1262,EL GRADEK 4,2020-06-02,Manque de ressources en eau,,A
1263,EL GRADEK 1,2020-06-02,,,F
1264,BOUHSSEIN,2020-06-02,,,F
1265,EL HECHA,2020-06-02,,,F
1266,TWALBIA,2020-06-02,,,F
1267,RMILA,2020-06-02,Manque de ressources en eau,,A
1268,WAJEH EL GARAA,2020-06-02,,,F
1269,WAJEH EL KAMIM,2020-06-02,,,F
1270,WECHWACHA,2020-06-02,,,F
1271,METHNENIA,2020-06-02,,,F
1272,BOUAZIZ,2020-06-02,,,F
1273,OULED JABALLAH,2020-06-02,,,F
1274,MZARA,2020-06-02,,,F
1275,SIDI AMMAR,2020-06-02,,,F
1276,BOUSSAFA 1,2020-06-02,,,F
1277,MEGDOUDICH,2020-06-02,,,F
1278,ZGHAEIBEYA,2020-06-02,,,F
1279,FKIRINA,2020-06-02,,,F
1280,FEJ LAHDID,2020-06-02,Endettement STEG,,A
1281,SNEK,2020-06-02,,,F
1282,AMAMREYA,2020-06-02,,,F
1283,TAM SMIDA 2,2020-06-02,,,F
1284,SALTNIA,2020-06-02,,,F
1285,GARAA HENCHIR GARSELLAH,2020-06-02,,,F
1286,GRAAT NAAM,2020-06-02,,,F
1287,SIDI HAMOUDA CHAMALYA,2020-06-02,,,F
1288,AOULED BOUAZIZ,2020-06-02,Manque de ressources en eau,,A
1289,KODYET MOUSSA,2020-06-02,,,F
1290,EL BRAJA,2020-06-02,,,F
1291,BIR SAFIA,2020-06-02,,,F
1292,FEJJ NAAM,2020-06-02,,,F
1293,OULED AHMED,2020-06-02,,,F
1294,GOUBEL,2020-06-02,,,F
1295,HENCHIR ETTAIEB 1,2020-06-02,,,F
1296,MKISMET,2020-06-02,,,F
1297,GARAAT GHILEN,2020-06-02,,,F
1298,OULED ABDERAHIM,2020-06-02,,,F
1299,BRAHMIA SWALMEYA,2020-06-02,,,F
1300,AAMAMREYA,2020-06-02,,,F
1301,OULED SALEM,2020-06-02,,,F
1302,SARAKEYA OULED ABID,2020-06-02,Manque de ressources en eau,,A
1303,SKHIRAT HDEYA,2020-06-02,Manque de ressources en eau,,A
1304,AL JADRA AL OLIA/JEDRA,2020-06-02,,,F
1305,ETTAWAFOK,2020-06-02,,,F
1306,SOULA 1 & SOULA,2020-06-02,,,F
1307,KROUU AL JODRA,2020-06-02,,,F
1308,OULED ABBAS,2020-06-02,,,F
1309,ESSGHAYRIA,2020-06-02,,,F
1310,SOULA 1 & SOULA 3,2020-06-02,,,F
1311,SOULA 1 & SOULA 2,2020-06-02,,,F
1312,HENCHIR OM EL KHIR,2020-06-02,,,F
1313,ZNAYDIYA,2020-06-02,,,F
1314,EL FAKKA EL BAELYA,2020-06-02,,,F
1315,ESSDID 1,2020-06-02,Endettement STEG,,A
1316,AL MSILA,2020-06-02,,,F
1317,ENNADHOUR II,2020-06-02,,,F
1318,ENAJAH,2020-06-02,,,F
1319,OKLAT D.AHMED,2020-06-02,,,F
1320,EL KARACHOUN,2020-06-02,,,F
1321,GOOR LADEEM,2020-06-02,,,F
1322,AL ATEK,2020-06-02,,,F
1323,FAKAT AL KHADEM A. MANSOUR,2020-06-02,,,F
1324,HENCHIR LOZA,2020-06-02,,,F
1325,ENNASSREYA,2020-06-02,,,F
1326,ENNADHOUR 1,2020-06-02,,,F
1327,ESSMAELYA,2020-06-02,,,F
1328,AL AFRACH,2020-06-02,,,F
1329,GREYEREYA,2020-06-02,,,F
1330,FEIDH EL AMAL,2020-06-02,,,F
1331,EL AKROUT,2020-06-02,,,F
1332,CHTETHEYA,2020-06-02,,,F
1333,EL HERYA,2020-06-02,,,F
1334,AKROUT,2020-06-02,,,F
1335,EL HARACHNA JDAYET,2020-06-02,,,F
1336,EL GTAYFIA,2020-06-02,,,F
1337,Ettakadoum,2020-06-02,,,F
1338,Oued Souani - Ejjadara,2020-06-02,,,F
1339,Kbouch,2020-06-02,,,F
1340,Chouabia- Bchairia - Enniima,2020-06-02,,,F
1341,Bouhraoua,2020-06-02,,,F
1342,Zgaya - Dhraa Raiini,2020-06-02,,,F
1343,Ouled Brahim - El Ghraslia,2020-06-02,,,F
1344,El Mhadhbia - Ouled Othman,2020-06-02,,,F
1345,El Graidia- Traidia,2020-06-02,,,F
1346,Garit Mehdi - Bir Hmida,2020-06-02,,,F
1347,Mzita - Msalhia ,2020-06-02,,,F
1348,Essmara - Zghalma,2020-06-02,,,F
1349,Rebiba ,2020-06-02,,,F
1350,El Baten ,2020-06-02,,,F
1351,Douar El Haj Abdallah - Hmidet ,2020-06-02,,,F
1352,Chaanba - Ouled Assal,2020-06-02,,,F
1353,Sidi Mbarek,2020-06-02,,,F
1354,Kodiet El Arka,2020-06-02,,,F
1355,Ouled Saad,2020-06-02,Réseau en mauvais état,Avant été 2020,P
1356,Ouled Maarouf - El Aalaoua,2020-06-02,,,F
1357,Ouled Maach,2020-06-02,,,F
1358,Kambra ,2020-06-02,,,F
1359,Souari Abida,2020-06-02,,,F
1360,Mdeina - Ouled Khlef - Chaabnia,2020-06-02,,,F
1362,Semda ,2020-06-02,,,F
1363,Saadna,2020-06-02,,,F
1364,Ouled Ahmed ,2020-06-02,,,F
1365,Kodiet Echair,2020-06-02,,,F
1366,Ejfara- Ouled Bouaziz,2020-06-02,,,F
1367,Ezzaitouna ,2020-06-02,,,F
1368,Benou- Ouled Belghith- Msatria- Dhouaflia- Ben Nfissa,2020-06-02,,,F
1369,Sbabha- Hmidet- Ghouazi,2020-06-02,,,F
1370,El Kheloua,2020-06-02,,,F
1371,Ain Gattar- Ouled Salah,2020-06-02,,,F
1372,Ezdairia,2020-06-02,,,F
1373,Lorbus Karia - El Agba,2020-06-02,baisse du débit au point de piquage SONEDE,Avant été 2020,P
1374,Lorbus Mahatta - Dchaouria - Klaa,2020-06-02,,,F
1375,El Bkhairia- Sidi Amor,2020-06-02,,,F
1376,El Maiidher,2020-06-02,,,F
1377,El Hamri et Gssiaat ,2020-06-02,Réseau en mauvais état,mars-20,P
1378,Ouled Ali- El Hzaizia,2020-06-02,Pas de ressource en eau,,A
1379,Tricha - Ouled Harbi ,2020-06-02,Pas de ressource en eau,,A
1380,El Argoub ,2020-06-02,baisse du débit au point de piquage SONEDE,Avant été 2020,P
1381,Sidi Nacer,2020-06-02,,,F
1382,Zanfour- Ouled Mbarek- Hmarnia,2020-06-02,,,F
1383,Draghmia- Bir Ennakhla- Sidi M'tir,2020-06-02,,,F
1384,El Khlij- Sidi Said- Bir Khedher,2020-06-02,,,F
1385,Sidi Ammar ,2020-06-02,,,F
1386,Sidi Abdelbacet- Bouyagoum - Ouled Mannaa,2020-06-02,,,F
1387,Jezza- Echammam,2020-06-02,,,F
1388,Chammem 2,2020-06-02,,,F
1389,El Houdh- Essadr- El Mouazna,2020-06-02,,,F
1390,Borj Eddiwana,2020-06-02,,,F
1391,Fej Mjaled ,2020-06-02,,,F
1392,Soualmia -Houaymia,2020-06-02,,,F
1393,Ennadhour- Mhafdhia,2020-06-02,,,F
1394,El Hmaizia- Sidi messaoud,2020-06-02,,,F
1395,El Gdah- Soualhia,2020-06-02,,,F
1396,El Hmayzia,2020-06-02,,,F
1397,Forna,2020-06-02,,,F
1398,Henchir Jnoun ,2020-06-02,,,F
1399,Jradou- Takrouna,2020-06-02,,,F
1400,El Gol ,2020-06-02,,,F
1401,Hzim,2020-06-02,,,F
1402,El Frihi- Etouaymia,2020-06-02,,,F
1403,Ejjaddara Ouled Abid ,2020-06-02,,,F
1404,Sidi Rabeh- Ettabia,2020-06-02,,,F
1405,Rouabech ,2020-06-02,,,F
1406,Sfaya,2020-06-02,,,F
1407,Essaassaa,2020-06-02,,,F
1408,El Ghzaouza ,2020-06-02,,,F
1409,Ouljet Esdra- El Barzekh ,2020-06-02,,,F
1410,Khdayjia,2020-06-02,,,F
1411,El Gsar- Ouena- Ouled Arfa,2020-06-02,Pas de ressource en eau,,A
1412,Griguit ,2020-06-02,,,F
1413,Zaatria ,2020-06-02,Manque d'eau,Avant été 2020,P
1414,El Hara ,2020-06-02,,,F
1415,Tel Ghozlene- Bou abouna- Klaa- A?n El Morra,2020-06-02,,,F
1416,Ghinjata,2020-06-02,,,F
1417,Ain El Henchir,2020-06-02,Endettement Etat du réseau Branchements illicites,Avant été 2020,A
1418,Echtatla- Sidi Medyen,2020-06-02,,,F
1419,Ettaref- Jbeylia,2020-06-02,,,F
1420,El Ftaimia- El Hraghine- Barkene ,2020-06-02,,,F
1421,El Mjajria ,2020-06-02,,,F
1422,Sarrat Gare,2020-06-02,,,F
1423,El Hyedra ,2020-06-02,,,F
1424,Gorrayya,2020-06-02,,,F
1425,SIDI ACHOUR ,2020-06-02,,,F
1426,BORJ EL KHALSI,2020-06-02,,,F
1427,BIR EJJDID,2020-06-02,,,F
1428,MASAADINE,2020-06-02,,,F
1429,DRIJA ,2020-06-02,,,F
1430,FIDH ALA AMRINE ,2020-06-02,,,F
1431,NFAIDH ,2020-06-02,Baisse de débit en période de pointe au niveau du piquage Sonede,,P
1432,MAHFOURA,2020-06-02,Baisse de débit en période de pointe au niveau du piquage Sonede,,P
1433,KHRIBA,2020-06-02,,,F
1434,ERRABTA,2020-06-02,,,F
1435,TIRRASSET,2020-06-02,,,F
1436,BOOLI ,2020-06-02,,,F
1437,BEN GHNIA ,2020-06-02,,,F
1438,HINCHIR EZOUYA/SIDIALI BEN OUN,2020-06-02,,,F
1439,SIDI SAID,2020-06-02,,,F
1440,HENNA ,2020-06-02,,,F
1441,GANTOURIA ,2020-06-02,,,F
1442,MANZEL SHAL ,2020-06-02,,,F
1443,MANZEL AMOR (chaouat),2020-06-02,,,F
1444,HKAIMIA ,2020-06-02,,,F
1445,GUECHBA SIDI SALEM ,2020-06-02,,,F
1446,HENNA ET DHNIBA ,2020-06-02,,,F
1447,SIDI ALI HATTAB ,2020-06-02,,,F
1448,BOUHAMED,2020-06-02,,,F
1449,AIN KARMA,2020-06-02,,,F
1450,MAAFRINE ,2020-06-02,,,F
1451,FAZANINE,2020-06-02,,,F
1452,JNAIDIA,2020-06-02,,,F
1453,MELLEHA,2020-06-02,,,F
1454,GAFFAYA,2020-06-02,,,F
1455,AIN HAWARIA,2020-06-02,,,F
1456,MAGTAA ET NADHOUR,2020-06-02,,,F
1457,BOUALI,2020-06-02,,,F
1458,TYAYRA,2020-06-02,,,F
1459,BEJA KADIMA,2020-06-02,,,F
1460,BOUKHARROUBA,2020-06-02,,,F
1461,DOUAR EL BAY ELLOZGA,2020-06-02,,,F
1462,Echahbania Est,2020-06-02,,,F
1464,Henchir Hwachi,2020-06-02,Manque d'eau et mauvaise gestion,juil-20,P
1465,Beniri,2020-06-02,Manque d'eau ,juil-20,P
1466,Essfifir,2020-06-02,,,F
1467,Ennafatiya,2020-06-02,,,F
1468,Oued Ettaam,2020-06-02,,,F
1469,Essnam,2020-06-02,,,F
1470,El Ferjanya,2020-06-02,,,F
1471,Bou Guedima,2020-06-02,,,F
1472,Grar Bou Ghrara,2020-06-02,,,F
1473,Echguiguiya,2020-06-02,,,F
1474,Echraf,2020-06-02,,,F
1475,Bou Ramli,2020-06-02,,,F
1476,Ras Bou Ramli,2020-06-02,,,F
1477,Aalamet El Mechlouch,2020-06-02,,,F
1478,El Mraiich,2020-06-02,,,F
1479,El Itha,2020-06-02,,,F
1480,El Grine,2020-06-02,,,F
1481,Amra,2020-06-02,,,F
1482,Chaabet Sali,2020-06-02,,,F
1483,Essaadene,2020-06-02,,,F
1484,El Hlalma El Outhanya,2020-06-02,,,F
1485,Echaabania,2020-06-02,,,F
1486,Mars et Krid,2020-06-02,,,F
1487,Gsibet El Lhiouette,2020-06-02,,,F
1488,Essed,2020-06-02,,,F
1489,El Gattar,2020-06-02,,,F
1490,Henchir El Mejel,2020-06-02,,,F
1491,Menzelt Mogar,2020-06-02,,,F
1492,Medhhar El hallouf,2020-06-02,,,F
1493,Aziza,2020-06-02,,,F
1494,Wejh El Ghaa,2020-06-02,,,F
1495,Chaabet El Mejel,2020-06-02,,,F
1496,El Bagbag II,2020-06-02,,,F
1497,El Bagbag I,2020-06-02,,,F
1498,Ksar Ejra,2020-06-02,Manque d'eau et endettement STEG,juil-20,A
1499,Oued El Khil,2020-06-02,Manque d'eau,juil-20,P
1500,El Msselekh,2020-06-02,,,F
1501,El Battouma,2020-06-02,,,F
1502,Bou Ala,2020-06-02,,,F
1503,El Awachir,2020-06-02,,,F
1504,Enkim,2020-06-02,,,F
1505,Warzgha,2020-06-02,,,F
1506,Echwamekh,2020-06-02,,,F
1507,El Hachana,2020-06-02,,,F
1508,Grib,2020-06-02,,,F
1509,Chaabet El Maarek,2020-06-02,,,F
1510,El Mechbek,2020-06-02,,,F
1511,Bennirane,2020-06-02,,,F
1512,Chaabet Essour,2020-06-02,,,F
1513,El Guedara,2020-06-02,,,F
1514,Essaafet,2020-06-02,,,F
1515,El Houd,2020-06-02,,,F
1516,Ouled Hachena,2020-06-02,,,F
1517,El Brahmia,2020-06-02,,,F
1519,Esskhaibia,2020-06-02,,,F
1520,El Ayeida,2020-06-02,,,F
1521,Ettoualeb 2,2020-06-02,,,F
1522,Essoudene,2020-06-02,Baisse de débit en période de pointe au niveau du piquage Sonede,,P
1523,Chamess,2020-06-02,,,F
1524,Echwardia,2020-06-02,,,F
1525,Ouled Hamrouni,2020-06-02,,,F
1526,Ouled Abed ennebi,2020-06-02,,,F
1527,Ouled Amara,2020-06-02,,,F
1528,El Bkour,2020-06-02,,,F
1529,Ouled Lahouel,2020-06-02,,,F
1530,Bouslim,2020-06-02,,,F
1531,Ajilette,2020-06-02,,,F
1532,Mharza,2020-06-02,,,F
1533,Kraaid,2020-06-02,,,F
1534,Bir Maleh,2020-06-02,Casses réseaux de distribution,,P
1535,Ouled Ali,2020-06-02,,,F
1536,Ouled Mlik,2020-06-02,,,F
1537,Tebne Soliman,2020-06-02,,,F
1538,Boucharay Soliman,2020-06-02,,,F
1539,Bir drassen Bni Khalled,2020-06-02,Manque des ressources an eau,juin-20,P
1540,Bouafif Bni khaled,2020-06-02,,,F
1541,Bouchrik  Menzel Bouzelfa,2020-06-02,,,F
1542,Takelsa Janoubia,2020-06-02,Casses fréquentes réseaux de distribution,juin-20,P
1543,Takelsa oued abid,2020-06-02,,,F
1544,Jbal Trif Grombalia,2020-06-02,,,F
1545,Bni ayech Grombalia,2020-06-02,Manque des ressources an eau,juin-20,P
1546,Bouzekri et touelbia Grombalia,2020-06-02,,,F
1547,Henchir Jbir Grombalia,2020-06-02,,,F
1548,Kharrouba Bou arghoub,2020-06-02,,,F
1549,Bousham Bou Arghoub,2020-06-02,Manque des ressources an eau,juin-20,P
1550,Arghoub essid Bou Arghoub,2020-06-02,,,F
1551,Hamman JDIDI Hammamet,2020-06-02,,,F
1552,Sidi hammed et besbassia Hamammet,2020-06-02,,,F
1553,Beni ouael Hammamet,2020-06-02,,,F
1554,Menzel Mousa Hammamet,2020-06-02,,,F
1555,Latrach Hammamet,2020-06-02,,,F
1556,Gosbet korba,2020-06-02,,,F
1557,Gobbet lagha Korba,2020-06-02,,,F
1558,Boulidin Korba,2020-06-02,,,F
1559,Boulazhar Korba,2020-06-02,,,F
1560,Henchir tirif Korba,2020-06-02,,,F
1561,Awled Ben thamer Korba,2020-06-02,,,F
1562,Nakhla Menzel Tmime,2020-06-02,,,F
1563,Garsouline Menzel Tmime,2020-06-02,,,F
1564,Menzel Yahya Menzel Tmime,2020-06-02,,,F
1565,Irgh Esses Menzel Tmime,2020-06-02,,,F
1566,Menzel Ibrahim Klibia,2020-06-02,Bouchage des conduite de distribution,juin-20,P
1567,El Hzaizia Hawaria,2020-06-02,Casses fréquentes réseaux de distribution,juin-20,P
1568,El koudwa Hawaria,2020-06-02,,,F
1569,Ksira w Zwabi Hawaria,2020-06-02,,,F
1571,Tamazrat  Hammam El Ghzaz,2020-06-02,Manque de pression pour la desserte des zones hautes,mai-20,P
1572,El Halfa Bni Khiar,2020-06-02,Manque des ressources an eau,mai-20,P
1574, Tahadi_Hnancha,2020-06-02,Problémes  GDA + endettement,,A
1575, Houajbia,2020-06-02,,,F
1576, Mlikat Azara,2020-06-02,,,F
1577, Ouled Omor Izitouna,2020-06-02,Refus de desserte par potence,juin-20,A
15,Sidi Fnar,2020-07-07,,,F
1570,Nawalet Mida,2020-06-02,,,F
1578, Hsinat Awafi,2020-06-02,,,F
1579, Garaat Hadid,2020-06-02,Manque d'eau ,avr-20,P
1580, Lahwez,2020-06-02,,,F
1581, Mansour Ben Said,2020-06-02,,,F
1582, Ogla,2020-06-02,,,F
1583, Gotrana Nord,2020-06-02,,,F
1584,  El Horeya,2020-06-02,,,F
1585, Enajeh,2020-06-02,,,F
1586, Imtiez,2020-06-02,,,F
1587, Zaghmar II,2020-06-02,,,F
1588,  Zaghmar I,2020-06-02,,,F
1589,  Ben Mrad,2020-06-02,,,F
1590, El Hamrouni,2020-06-02,,,F
1591,  Echweiheya,2020-06-02,,,F
1592,Baten Laghzel Nord,2020-06-02,Endettement STEG et vente d'eau,avr-20,A
1593, Awled SaiId 2,2020-06-02,,,F
1594,  El Amra   ,2020-06-02,,,F
1595,  Felta,2020-06-02,,,F
1596, El Khchouma,2020-06-02,,,F
1597,  Borj El Mahata,2020-06-02,Refus de desserte par BF,juin-20,A
1599,  El Mghila  III,2020-06-02,,,F
1600, El Ayoun ,2020-06-02,,,F
1601,  El Blahdeya,2020-06-02,,,F
1602, Izdihar Bir Bousbia,2020-06-02,,,F
1603, Taoufik Wargha 1,2020-06-02,,,F
1604, Amel Grawa Wargha 2,2020-06-02,,,F
1605,"Ighramzia 
Ouled 
Slimane",2020-06-02,,,F
1606, Rahal,2020-06-02,,,F
1607, Baraka Bir El Hafy,2020-06-02,,,F
1608, Baraka Ouled Slimane,2020-06-02,,,F
1609, Ouled Slimane Amayria,2020-06-02,,,F
1610, Ouled Khalifa,2020-06-02,,,F
1611, EL Khir Bir Amama,2020-06-02,,,F
1612, Hinchir Griaat,2020-06-02,,,F
1613,Baraka Msalbya,2020-06-02,,,F
1614, El Ezdihare Ben Bachir,2020-06-02,,,F
1615, Douar Abd EL mlak,2020-06-02,,,F
1616, Tharih,2020-06-02,,,F
1617, Sabra Ennaser,2020-06-02,,,F
1618, Damdoum,2020-06-02,,,F
1619,Ouled Neji,2020-06-02,,,F
1620, Erraguba,2020-06-02,,,F
1621, Wafa,2020-06-02,,,F
1622, Intilaka Ounaysia,2020-06-02,,,F
1623, Ouled Brahim,2020-06-02,,,F
